ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
11,12055780,90,1,0,0,1,0,1,110,5,4,1
11,236688000,750,11,2,0,0,5,5,800,3,1,1
11,43007454,250,5,5,3,0,3,4,346,0,13,0
11,12609120,105,3,14,0,0,0,1,120,5,6,1
11,33519280,170,5,2,0,0,1,1,184,2,4,0
11,18204620,120,3,13,0,0,0,1,140,5,10,0
11,7300590,100,1,13,0,0,0,1,110,5,6,1
11,5125000,40,0,2,0,1,0,4,50,5,1,1
11,22550000,205,1,12,0,0,2,4,220,8,10,0
11,15236020,110,3,12,0,0,1,1,145,0,4,1
11,18631660,150,3,12,3,1,0,1,170,5,5,0
11,24111560,185,1,8,3,0,1,4,220,7,12,0
11,24111560,185,3,8,3,0,1,4,220,1,12,0
11,29212500,225,3,3,3,0,2,4,285,7,10,0
11,32363205,80,1,2,1,1,0,2,193,5,1,1
11,8931460,75,1,12,0,0,0,1,85,6,7,1
11,9821490,90,1,18,0,0,0,1,105,5,3,1
11,14710640,130,3,14,3,0,0,1,140,5,10,0
11,15446400,110,1,11,0,1,1,1,120,5,3,1
11,14643000,180,1,2,0,0,2,5,200,8,2,1
11,28607260,190,3,7,3,0,2,4,220,2,13,0
11,8265510,142,6,20,0,0,0,1,165,8,4,1
11,2823275,60,0,2,0,0,0,1,65,8,4,1
11,4250925,70,0,2,0,0,0,1,75,5,4,1
11,15761400,135,5,18,0,0,1,1,150,2,4,1
11,13151760,95,3,11,3,0,0,1,120,5,3,1
11,18083670,149,3,6,0,0,0,1,165,5,5,1
11,5510340,95,3,9,0,0,0,1,110,5,4,1
11,11243132,90,1,18,0,0,0,1,107,5,5,1
11,47976500,200,4,2,0,0,1,5,250,5,2,1
11,18631660,150,3,9,5,0,1,1,170,0,4,1
11,8418420,80,1,6,0,0,0,1,90,5,3,1
11,38688094,251,3,10,3,0,3,4,353,0,13,1
11,11692250,110,3,2,0,0,0,1,125,5,4,1
11,39016888,253,7,10,0,0,3,4,356,1,13,0
11,31857625,190,3,6,3,0,1,1,215,5,4,1
11,7651665,110,3,13,5,0,1,1,135,0,5,1
11,6518085,100,3,13,5,0,1,1,115,0,5,1
11,20960625,95,4,2,2,1,1,2,125,5,0,1
11,34734060,160,3,2,0,0,1,5,180,5,3,1
11,15761400,135,5,17,0,0,1,1,150,8,4,1
11,23317760,101,1,12,0,0,1,1,128,0,4,1
11,10950885,128,3,18,0,0,0,1,165,5,10,1
11,11558360,95,3,6,0,0,0,1,110,5,3,1
11,23317760,101,1,12,0,0,1,1,128,0,4,1
11,15302280,74,1,6,3,0,0,1,84,0,4,1
11,5384505,90,1,9,0,0,6,1,95,0,4,1
11,9291660,120,3,9,0,0,0,1,140,5,8,1
11,18083670,149,3,11,0,0,1,1,165,5,4,1
11,12609120,100,1,17,0,0,0,1,120,5,4,1
11,6829940,55,0,9,0,0,0,1,65,8,4,1
11,10250000,80,1,14,3,0,2,4,100,8,7,1
11,3305315,60,0,18,0,0,0,1,65,5,4,1
11,8117070,120,3,12,0,0,1,1,130,7,4,1
